Make,Model,Variant,Transmission,Fuel Type,Price_numeric,Distance_numeric,Age,City
Mahindra,Alturas G4,4WD AT,Automatic (TC),Diesel,2070000,63000,4,Delhi
Audi,Q3 [2017-2020],30 TFSI Premium,Automatic,Petrol,2395000,60000,6,Delhi
BMW,3 Series,320d Luxury Line,Automatic (TC),Diesel,1495000,40000,9,Delhi
Maruti Suzuki,Ignis,Zeta 1.2 MT,Manual,Petrol,655000,27000,3,Delhi
BMW,X3 [2018-2022],xDrive 20d Luxury Line,Automatic (TC),Diesel,4215000,28000,5,Delhi
BMW,X1 [2010-2012],sDrive20d,Automatic,Diesel,1627000,38500,6,Delhi
Hyundai,Elantra,2.0 S MT,Manual,Petrol,1233000,20000,5,Delhi
Maruti Suzuki,Ciaz [2017-2018],Sigma 1.4 MT,Manual,Petrol,570500,35000,6,Delhi
Toyota,Corolla Altis,G Petrol,Manual,Petrol,1431000,8200,5,Delhi
Maruti Suzuki,Ciaz [2017-2018],Sigma 1.4 MT,Manual,Petrol,570500,36000,6,Delhi
Maruti Suzuki,Baleno [2015-2019],Delta 1.2,Manual,Petrol,474100,43000,8,Delhi
Maruti Suzuki,Baleno [2015-2019],Delta 1.2,Manual,Petrol,425800,43000,8,Pune
Hyundai,Creta [2020-2023],SX (O) 1.4 Turbo 7 DCT,Automatic (DCT),Petrol,1540000,22000,4,Delhi
Hyundai,Creta [2018-2019],SX 1.6 AT CRDi,Automatic,Diesel,1112000,84000,5,Delhi
Audi,Q7 [2010 - 2015],45 TDI Technology Pack,Automatic,Diesel,3820000,85000,7,Delhi
BMW,3 Series,320d Luxury Line,Automatic (TC),Diesel,2570000,25000,7,Delhi
Volkswagen,Virtus,Topline 1.0 TSI MT,Manual,Petrol,1345000,11002,2,Delhi
Maruti Suzuki,XL6,Zeta AT Petrol,Automatic (TC),Petrol,1205000,24500,3,Delhi
Hyundai,Creta [2015-2017],1.6 SX,Manual,Diesel,872000,61002,7,Delhi
Tata,Nexon [2017-2020],XZ,Manual,Petrol,617500,73001,6,Delhi
Volvo,S90 [2016-2021],D4 Inscription,Automatic (TC),Diesel,3520000,50000,6,Delhi
Volvo,S90 [2016-2021],D4 Inscription,Automatic (TC),Diesel,3520000,50000,6,Pune
Hyundai,Grand i10,Sportz (O) U2 1.2 CRDi [2017-2018],Manual,Diesel,516000,62777,7,Delhi
Kia,Seltos [2019-2022],HTK Plus 1.5,Manual,Petrol,951000,41151,5,Delhi
Kia,Seltos [2019-2022],HTX 1.5,Manual,Petrol,1067000,43623,5,Delhi
Maruti Suzuki,Brezza,ZXi,Manual,Petrol,1037000,11260,3,Delhi
Hyundai,Santro,Magna,Manual,Petrol,459000,16492,4,Delhi
Kia,Seltos [2019-2022],HTX 1.5,Manual,Petrol,1212000,26118,5,Delhi
Hyundai,Creta [2017-2018],E Plus 1.6 Petrol,Manual,Petrol,642100,82613,7,Delhi
Kia,Seltos,GTX Plus 1.5 Diesel AT,Automatic (TC),Diesel,1595000,56000,2,Delhi
Toyota,Innova Crysta [2020-2023],GX 2.4 AT 7 STR,Automatic (TC),Diesel,2011000,12746,2,Delhi
Kia,Seltos,GTX Plus 1.5 Diesel AT,Automatic (TC),Diesel,1795000,22000,2,Delhi
Tata,Hexa,XM 4x2 7 STR,Manual,Diesel,797000,58136,7,Delhi
BMW,X3 [2018-2022],xDrive 20d Luxury Line,Automatic (TC),Diesel,3695000,45000,5,Delhi
BMW,X1 [2010-2012],sDrive20d,Automatic,Diesel,1785000,43000,5,Delhi
BMW,X1 [2016-2020],xDrive20d xLine,Automatic,Diesel,1510000,82000,8,Delhi
Hyundai,Elantra,SX 2.0 AT,Automatic (TC),Petrol,1297000,57000,5,Delhi
Hyundai,Elantra,SX 2.0 AT,Automatic (TC),Petrol,1297000,53000,5,Delhi
Renault,Kiger [2021-2022],RXZ 1.0 Turbo MT,Manual,Petrol,943000,11000,2,Delhi
Toyota,Innova Crysta [2016-2020],2.8 GX AT 7 STR [2016-2020],Automatic,Diesel,1470000,75000,4,Delhi
Audi,Q7 [2010 - 2015],35 TDI Premium,Automatic,Diesel,1570000,54000,9,Delhi
Audi,A4 [2008-2013],1.8 TFSI,Automatic,Petrol,1570000,57000,8,Delhi
Toyota,Innova Hycross,VX Hybrid 7 STR,Automatic (e-CVT),Hybrid (Electric + Petrol),3020000,19000,1,Delhi
Toyota,Corolla Altis [2008-2011],1.8 G,Manual,Petrol,630700,78000,10,Delhi
Toyota,Corolla Altis [2008-2011],1.8 G,Manual,Petrol,545700,78000,10,Kolkata
Mahindra,XUV500 [2011-2015],W6,Manual,Diesel,797000,39000,8,Delhi
BMW,X1 [2010-2012],sDrive20d,Automatic,Diesel,1297000,75000,8,Delhi
Honda,Amaze [2018-2021],1.2 V CVT Petrol,Automatic (CVT),Petrol,609400,49000,6,Delhi
Toyota,Innova Crysta [2020-2023],GX 2.4 AT 7 STR,Automatic (TC),Diesel,2008000,25000,2,Delhi
Mini,Clubman,Cooper S,Automatic (DCT),Petrol,2545000,20200,7,Delhi
Mini,Clubman,Cooper S,Automatic (DCT),Petrol,2545000,20000,7,Delhi
BMW,X1 [2010-2012],sDrive20d,Automatic,Diesel,2170000,58000,5,Delhi
Maruti Suzuki,Brezza,Zxi Dual Tone,Manual,Petrol,1151000,28284,2,Delhi
Hyundai,Grand i10,Sportz (O) AT 1.2 Kappa VTVT [2017-2018],Automatic,Petrol,457200,52543,7,Delhi
Toyota,Camry,Hybrid,Automatic (e-CVT),Hybrid (Electric + Petrol),3370000,36000,4,Delhi
Maruti Suzuki,Ciaz [2017-2018],Delta 1.4 MT,Manual,Petrol,544400,121696,7,Delhi
Kia,Sonet [2020-2022],HTX 1.0 iMT,Clutchless Manual (IMT),Petrol,1003000,33000,3,Delhi
Mahindra,XUV500,W5,Manual,Diesel,1103000,56122,5,Delhi
Maruti Suzuki,S-Presso,VXi,Manual,Petrol,489500,12058,3,Delhi
Honda,Amaze [2018-2021],1.5 VX CVT Diesel,Automatic (CVT),Diesel,748000,55414,5,Delhi
Audi,A4 [2016-2020],35 TDI Technology,Automatic,Diesel,2095000,77000,7,Delhi
Mahindra,XUV500,W9,Manual,Diesel,1247000,45000,6,Bangalore
Mahindra,XUV500,W9,Manual,Diesel,1247000,45000,6,Delhi
Maruti Suzuki,XL6,Zeta AT Petrol,Automatic (TC),Petrol,1454000,2700,1,Delhi
Skoda,Slavia,Style 1.5L TSI DSG,Automatic (DCT),Petrol,1645000,4100,2,Delhi
Lexus,NX,350h Luxury,Automatic (e-CVT),Hybrid (Electric + Petrol),7235000,1200,1,Delhi
Toyota,Innova Crysta [2020-2023],ZX 2.7 AT 7 STR,Automatic (TC),Petrol,2406000,15985,2,Delhi
Mini,Cooper,S,Automatic (DCT),Petrol,3720000,12923,6,Delhi
Toyota,Innova Crysta [2020-2023],ZX 2.4 AT 7 STR,Automatic (TC),Diesel,2454000,24000,2,Delhi
Jeep,Compass [2017-2021],Limited (O) 1.4 Petrol AT,Automatic,Petrol,1200000,50000,7,Delhi
Renault,Kiger,RXZ MT,Manual,Petrol,903000,11600,2,Delhi
Maruti Suzuki,Ciaz [2014-2017],VXi,Manual,Petrol,420800,16909,9,Delhi
Hyundai,Grand i10,Magna 1.2 Kappa VTVT,Manual,Petrol,429700,40186,6,Delhi
Nissan,Magnite,XE,Manual,Petrol,600000,13843,2,Delhi
Maruti Suzuki,Swift,VXi,Manual,Petrol,547500,19638,5,Delhi
Mahindra,XUV500,W5,Manual,Diesel,993000,67598,5,Delhi
Maruti Suzuki,Swift DZire [2011-2015],ZXI,Manual,Petrol,461800,43488,9,Delhi
Maruti Suzuki,Baleno [2015-2019],Zeta 1.2,Manual,Petrol,587200,36095,4,Delhi
Hyundai,Grand i10,Sportz 1.2 Kappa VTVT,Manual,Petrol,548200,22924,4,Delhi
Maruti Suzuki,Baleno [2015-2019],Delta 1.2,Manual,Petrol,509200,41801,7,Delhi
Honda,Amaze [2013-2016],1.2 S i-VTEC,Manual,Petrol,480600,54392,5,Delhi
Maruti Suzuki,Baleno [2015-2019],Alpha 1.2,Manual,Petrol,587000,41726,5,Delhi
Hyundai,Elite i20 [2014-2015],Sportz 1.2,Manual,Petrol,436400,31636,7,Delhi
Maruti Suzuki,Alto 800,VXi,Manual,Petrol,485500,35457,4,Delhi
Maruti Suzuki,Baleno [2015-2019],Alpha 1.2,Manual,Petrol,442600,32761,8,Delhi
Toyota,Innova Crysta [2016-2020],2.4 ZX AT 7 STR,Automatic,Diesel,2145000,59321,4,Delhi
Renault,Kiger,RXZ Turbo CVT,Automatic (CVT),Petrol,839000,12944,3,Delhi
Maruti Suzuki,Baleno [2015-2019],Zeta 1.2,Manual,Petrol,588000,21878,4,Delhi
Hyundai,Creta [2017-2018],SX Plus 1.6 AT CRDI,Automatic,Diesel,1005000,60349,6,Delhi
Tata,Harrier [2019-2023],XZ,Manual,Diesel,1246000,52860,5,Delhi
Mahindra,XUV500,W5,Manual,Diesel,965000,54955,5,Delhi
Toyota,Innova Crysta [2016-2020],2.8 GX AT 8 STR [2016-2020],Automatic,Diesel,1570000,72100,5,Delhi
Toyota,Innova Crysta [2016-2020],2.8 GX AT 7 STR [2016-2020],Automatic,Diesel,1495000,72250,5,Delhi
Toyota,Corolla Altis [2014-2017],VL AT Petrol,Automatic (CVT),Petrol,835000,100681,9,Delhi
Tata,Nexon [2017-2020],XZ,Manual,Petrol,817000,43424,3,Delhi
Maruti Suzuki,Ciaz [2014-2017],ZXi,Manual,Petrol,536900,50234,8,Delhi
Hyundai,Grand i10 [2013-2017],Asta AT 1.2 Kappa VTVT [2013-2016],Automatic,Petrol,455900,80208,9,Delhi
Renault,Triber,RXL,Manual,Petrol,702000,21089,2,Delhi
Maruti Suzuki,Swift [2014-2018],Lxi (O) [2014-2017],Manual,Petrol,264100,65365,9,Delhi
Maruti Suzuki,Baleno [2015-2019],Delta 1.2,Manual,Petrol,441400,70023,9,Delhi
Maruti Suzuki,Baleno [2015-2019],Zeta 1.2,Manual,Petrol,586000,57169,4,Delhi
Maruti Suzuki,Baleno [2015-2019],Zeta 1.2,Manual,Petrol,537200,15895,5,Delhi
Maruti Suzuki,Ciaz,Delta Hybrid 1.5 AT [2018-2020],Automatic,Petrol,647000,95723,6,Delhi
Honda,WR-V [2017-2020],VX MT Petrol,Manual,Petrol,667300,9363,6,Delhi
Tata,Nexon [2017-2020],XZ,Manual,Petrol,896000,42490,2,Delhi
Maruti Suzuki,Swift DZire [2011-2015],ZXI,Manual,Petrol,462200,32905,9,Delhi
Maruti Suzuki,Baleno [2015-2019],Delta 1.2,Manual,Petrol,509600,29628,7,Delhi
Honda,Amaze [2018-2021],1.2 V MT Petrol,Manual,Petrol,547600,53242,6,Delhi
Hyundai,Grand i10,Magna 1.2 Kappa VTVT,Manual,Petrol,429700,41163,6,Delhi
Hyundai,Creta [2015-2017],1.6 SX,Manual,Diesel,808000,68339,8,Delhi
Honda,Amaze [2013-2016],1.2 VX i-VTEC,Manual,Petrol,554700,67922,5,Delhi
Maruti Suzuki,Ciaz,Delta Hybrid 1.5 AT [2018-2020],Automatic,Petrol,759000,52112,5,Delhi
Renault,Kwid [2019] [2019-2019],RXT Opt,Manual,Petrol,429200,13568,5,Delhi
Hyundai,Venue [2019-2022],SX 1.0 Turbo,Manual,Petrol,949000,43632,3,Delhi
Honda,Amaze [2013-2016],1.2 VX i-VTEC,Manual,Petrol,503600,26314,6,Delhi
Tata,Harrier [2019-2023],XZ,Manual,Diesel,1234000,52417,5,Delhi
Tata,Tigor,XZ,Manual,Petrol,752000,23518,2,Delhi
Tata,Altroz,XZA Petrol,Automatic (DCT),Petrol,992000,19443,2,Delhi
Maruti Suzuki,Baleno [2015-2019],Zeta 1.2,Manual,Petrol,645000,35154,3,Delhi
Toyota,Innova Crysta [2020-2023],ZX 2.4 AT 7 STR,Automatic (TC),Diesel,2495000,63000,2,Delhi
Hyundai,Venue [2019-2022],SX 1.0 Turbo,Manual,Petrol,842000,28489,5,Delhi
Hyundai,Grand i10,Magna 1.2 Kappa VTVT,Manual,Petrol,430700,99108,9,Delhi
Hyundai,Grand i10,Sportz 1.2 Kappa VTVT,Manual,Petrol,449200,95564,6,Delhi
Maruti Suzuki,Swift DZire [2011-2015],VXi,Manual,Petrol,302300,95456,9,Delhi
Honda,Jazz,V,Manual,Petrol,633000,27362,5,Delhi
Maruti Suzuki,Baleno [2015-2019],Delta 1.2,Manual,Petrol,441300,73594,6,Delhi
Hyundai,Grand i10,Sportz (O) AT 1.2 Kappa VTVT [2017-2018],Automatic,Petrol,501200,48790,6,Delhi
Hyundai,Elite i20 [2014-2015],Sportz 1.2,Manual,Petrol,435800,43570,7,Delhi
Jeep,Compass [2017-2021],Limited Plus Diesel,Manual,Diesel,1549000,47583,4,Delhi
Maruti Suzuki,Baleno [2015-2019],Zeta 1.2,Manual,Petrol,442400,36035,7,Delhi
Honda,Amaze [2013-2016],1.2 S i-VTEC,Manual,Petrol,481300,39444,5,Delhi
Hyundai,Grand i10,Magna 1.2 Kappa VTVT,Manual,Petrol,498100,21010,7,Delhi
Hyundai,Venue [2019-2022],SX 1.0 Turbo,Manual,Petrol,789000,48008,5,Delhi
Maruti Suzuki,Baleno [2015-2019],Zeta 1.2,Manual,Petrol,484200,45853,6,Delhi
Tata,Nexon [2017-2020],XZ,Manual,Petrol,820000,8119,3,Delhi
Honda,Amaze [2013-2016],1.2 S i-VTEC,Manual,Petrol,506400,33373,7,Delhi
Toyota,Urban Cruiser,Premium Grade MT,Manual,Petrol,1022000,16580,2,Delhi
Ford,Endeavour [2016-2019],Trend 2.2 4x2 AT,Automatic,Diesel,2020000,63000,6,Delhi
BMW,X1,sDrive18d M Sport,Automatic (DCT),Diesel,4820000,3000,1,Delhi
Renault,Kiger,RXZ AMT,Automatic (AMT),Petrol,867000,30195,3,Delhi
Kia,Sonet [2020-2022],HTX 1.0 iMT,Clutchless Manual (IMT),Petrol,1102000,9526,2,Delhi
Hyundai,Venue,SX 1.5 CRDi,Manual,Diesel,981000,40079,3,Delhi
Hyundai,Creta [2015-2017],1.6 SX,Manual,Diesel,683000,71000,7,Delhi
Tata,Nexon [2017-2020],XZ,Manual,Petrol,681000,34357,5,Delhi
Maruti Suzuki,Ciaz,Delta Hybrid 1.5 AT [2018-2020],Automatic,Petrol,760000,31431,5,Delhi
Toyota,Innova Crysta [2020-2023],ZX 2.7 AT 7 STR,Automatic (TC),Petrol,2398000,48588,2,Delhi
Hyundai,Elite i20 [2014-2015],Sportz 1.2,Manual,Petrol,436600,24686,7,Delhi
Honda,BR-V,S Petrol,Manual,Petrol,712000,23000,6,Delhi
Volkswagen,Taigun,Topline 1.0 TSI AT,Automatic (TC),Petrol,1520000,25000,2,Delhi
Volkswagen,Vento,Highline Plus 1.2 (P) AT,Automatic,Petrol,652000,95879,7,Delhi
Maruti Suzuki,Baleno [2015-2019],Delta 1.2,Manual,Petrol,588700,20381,3,Delhi
Hyundai,Grand i10,Asta 1.2 Kappa VTVT,Manual,Petrol,469300,86970,6,Delhi
Audi,Q3 [2012-2015],35 TDI Premium,Automatic,Diesel,1097000,77000,9,Mohali
Audi,Q3 [2012-2015],35 TDI Premium,Automatic,Diesel,1097000,77000,9,Delhi
Hyundai,Grand i10 [2013-2017],Asta AT 1.2 Kappa VTVT [2013-2016],Automatic,Petrol,427600,19375,10,Delhi
Hyundai,Venue [2019-2022],SX 1.0 Turbo,Manual,Petrol,950000,29239,3,Delhi
Hyundai,Creta [2018-2019],SX 1.6 Petrol,Manual,Petrol,795000,30720,6,Delhi
Hyundai,Grand i10,Sportz 1.2 Kappa VTVT,Manual,Petrol,481500,41111,8,Delhi
Hyundai,Grand i10,Sportz (O) 1.2 Kappa VTVT [2017-2018],Manual,Petrol,493000,73097,7,Delhi
Toyota,Fortuner,4X4 AT 2.8 Diesel,Automatic (TC),Diesel,4695000,8000,1,Delhi
Tata,Altroz,XZA Plus Petrol,Automatic (DCT),Petrol,1123000,4900,1,Delhi
Honda,Amaze [2013-2016],1.2 S i-VTEC,Manual,Petrol,503300,112086,7,Delhi
Hyundai,Creta [2018-2019],SX 1.6 Petrol,Manual,Petrol,955000,20920,5,Delhi
Maruti Suzuki,Baleno [2015-2019],Zeta 1.2,Manual,Petrol,439000,115870,7,Delhi
Hyundai,Creta [2015-2017],1.6 SX,Manual,Diesel,821000,97470,7,Delhi
Maruti Suzuki,Ciaz [2017-2018],Zeta 1.4 AT,Automatic,Petrol,634700,92842,7,Delhi
Maruti Suzuki,Baleno [2015-2019],Delta 1.2,Manual,Petrol,507800,75735,7,Delhi
Hyundai,Creta [2015-2017],1.6 SX,Manual,Diesel,782000,101240,8,Delhi
Maruti Suzuki,Baleno [2015-2019],Delta 1.2,Manual,Petrol,484300,56193,5,Delhi
Maruti Suzuki,Swift,VXi,Manual,Petrol,545300,60993,5,Delhi
Hyundai,Elite i20 [2014-2015],Sportz 1.2,Manual,Petrol,436300,31781,7,Delhi
Tata,Harrier [2019-2023],XZ,Manual,Diesel,1037000,72524,5,Delhi
Maruti Suzuki,Celerio X,Zxi,Manual,Petrol,488500,50012,6,Delhi
Maruti Suzuki,Ciaz [2014-2017],ZXI+,Manual,Petrol,568300,87163,8,Delhi
Honda,Amaze [2013-2016],1.2 S i-VTEC,Manual,Petrol,481500,34940,5,Delhi
Hyundai,Verna,SX 1.5 Turbo Petrol MT,Manual,Petrol,1659000,1000,1,Delhi
MG,Hector [2021-2023],Sharp 1.5 Petrol CVT,Automatic (CVT),Petrol,1670000,24000,2,Chennai
MG,Hector [2021-2023],Sharp 1.5 Petrol CVT,Automatic (CVT),Petrol,1670000,24000,2,Delhi
Toyota,Innova Crysta [2020-2023],GX 2.7 AT 7 STR,Automatic (TC),Petrol,2170000,7800,2,Delhi
Hyundai,Xcent,E,Manual,Petrol,283100,24478,10,Delhi
Maruti Suzuki,Baleno [2015-2019],Delta 1.2,Manual,Petrol,509500,32348,7,Delhi
Kia,Seltos [2019-2022],GTX Plus 1.4,Manual,Petrol,1398000,24009,5,Delhi
Maruti Suzuki,Celerio,VXi,Manual,Petrol,415100,11942,6,Delhi
Tata,Tiago,XZ,Manual,Petrol,601400,21869,3,Delhi
Hyundai,Venue,S 1.2 Petrol,Manual,Petrol,849000,42769,3,Delhi
Maruti Suzuki,Baleno [2015-2019],Alpha 1.2,Manual,Petrol,586500,48887,5,Delhi
Maruti Suzuki,Baleno [2015-2019],Alpha 1.2,Manual,Petrol,483100,71939,7,Delhi
Honda,Amaze [2013-2016],1.2 S i-VTEC,Manual,Petrol,438500,58804,6,Delhi
Tata,Nexon [2017-2020],XZ,Manual,Petrol,898000,21527,2,Delhi
Maruti Suzuki,Ciaz [2014-2017],VDi SHVS,Manual,Diesel,418400,69000,9,Delhi
Hyundai,Creta [2015-2017],1.6 SX,Manual,Diesel,758000,51531,6,Delhi
Nissan,Magnite,XV,Manual,Petrol,802000,42637,2,Delhi
Maruti Suzuki,Baleno [2015-2019],Zeta 1.2,Manual,Petrol,441600,54948,7,Delhi
Maruti Suzuki,S-Presso,VXi,Manual,Petrol,445300,45447,4,Delhi
Tata,Harrier [2019-2023],XT,Manual,Diesel,1487000,34000,3,Delhi
Maruti Suzuki,Eeco [2010-2022],5 STR,Manual,Petrol,253600,42000,8,Delhi
Hyundai,Creta [2015-2017],1.6 SX,Manual,Diesel,756000,86490,6,Delhi
Renault,Kwid [2015-2019],RXT Opt [2015-2019],Manual,Petrol,445200,52813,4,Delhi
Kia,Sonet [2020-2022],HTK Plus 1.0 iMT,Clutchless Manual (IMT),Petrol,1020000,32272,2,Delhi
Maruti Suzuki,Swift [2014-2018],Lxi ABS [2014-2017],Manual,Petrol,442000,38009,7,Delhi
Maruti Suzuki,Swift DZire [2011-2015],VXi,Manual,Petrol,275900,100878,10,Delhi
Maruti Suzuki,Brezza,LXi,Manual,Petrol,782000,9500,3,Delhi
Jeep,Compass [2017-2021],Limited Plus Diesel,Manual,Diesel,1359000,35933,5,Delhi
MG,Hector [2019-2021],Sharp 1.5 DCT Petrol,Automatic (DCT),Petrol,1395000,17000,5,Delhi
Maruti Suzuki,Ciaz [2014-2017],ZXi,Manual,Petrol,533900,107298,8,Delhi
Maruti Suzuki,Baleno [2015-2019],Sigma 1.2,Manual,Petrol,524700,9500,3,Delhi
Hyundai,Creta [2017-2018],E Plus 1.6 Petrol,Manual,Petrol,644900,38000,7,Delhi
Tata,Tiago,XT,Manual,Petrol,516100,102235,7,Delhi
Tata,Harrier [2019-2023],XT,Manual,Diesel,1097000,52000,4,Delhi
Mahindra,XUV500 [2011-2015],W8,Manual,Diesel,628100,105000,10,Delhi
BMW,X3,xDrive30i SportX Plus,Automatic (TC),Petrol,6620000,11000,2,Delhi
Maruti Suzuki,Alto 800,VXi,Manual,Petrol,415800,54855,3,Delhi
Honda,Amaze [2018-2021],1.2 S CVT Petrol,Automatic (CVT),Petrol,566100,90304,6,Delhi
Honda,Amaze [2013-2016],1.2 S i-VTEC,Manual,Petrol,533300,21841,4,Delhi
Maruti Suzuki,Baleno [2015-2019],Zeta 1.2,Manual,Petrol,534900,59552,5,Delhi
Nissan,Magnite,XV,Manual,Petrol,804000,15648,2,Delhi
Mahindra,TUV300,T8,Manual,Diesel,633000,40000,6,Delhi
Porsche,Cayenne,Platinum Edition,Automatic (TC),Petrol,13720000,9000,1,Delhi
Mahindra,Scorpio [2014-2017],S4,Manual,Diesel,491800,70517,9,Delhi
Tata,Tiago,XZ,Manual,Petrol,451900,48427,6,Delhi
Tata,Tiago,XZ,Manual,Petrol,660000,36087,2,Delhi
Nissan,Magnite,XV,Manual,Petrol,732000,42767,3,Delhi
Hyundai,Venue [2019-2022],SX Plus 1.0 Turbo DCT,Automatic (DCT),Petrol,979000,23504,5,Delhi
Toyota,Yaris,G MT,Manual,Petrol,886000,24550,3,Delhi
Maruti Suzuki,Baleno [2019-2022],Delta,Manual,Petrol,533000,38000,5,Delhi
Hyundai,Creta [2017-2018],E 1.6 Petrol,Manual,Petrol,728000,38000,5,Delhi
MG,Hector [2019-2021],Sharp 1.5 DCT Petrol,Automatic (DCT),Petrol,1395000,45000,4,Delhi
Hyundai,Elantra [2012-2015],1.8 S,Manual,Petrol,697000,75000,9,Delhi
Maruti Suzuki,Ciaz [2014-2017],VXi,Manual,Petrol,417600,94923,9,Delhi
Hyundai,Alcazar,Prestige (O) 7 STR 1.5 Diesel AT,Automatic (TC),Diesel,1945000,19000,1,Delhi
Hyundai,Santro,Sportz,Manual,Petrol,446800,3500,5,Delhi
Maruti Suzuki,Ertiga [2015-2018],VXi,Manual,Petrol,1072000,48000,3,Chandigarh
Maruti Suzuki,Ertiga [2015-2018],VXi,Manual,Petrol,1072000,48000,3,Delhi
Honda,CR-V,2WD Diesel AT,Automatic,Diesel,1870000,33000,5,Delhi
Tata,Altroz,XZ Petrol,Manual,Petrol,804000,32000,3,Delhi
Hyundai,Creta [2017-2018],E Plus 1.4 CRDI,Manual,Diesel,643000,66000,6,Delhi
Audi,Q3 [2012-2015],35 TDI Premium,Automatic,Diesel,1282000,73000,9,Delhi
Toyota,Camry,Hybrid,Automatic (e-CVT),Hybrid (Electric + Petrol),3819000,42000,2,Delhi
Renault,Kiger,RXZ AMT,Automatic (AMT),Petrol,1045000,8000,1,Delhi
Mini,Cooper,S,Automatic (DCT),Petrol,1619000,42000,10,Delhi
Audi,Q7 [2010 - 2015],45 TDI Technology Pack,Automatic,Diesel,4070000,70000,7,Delhi
Maruti Suzuki,Swift,VXi,Manual,Petrol,447700,65000,10,Delhi
Maruti Suzuki,Swift,VXi,Manual,Petrol,293000,65000,10,Pune
Kia,Carnival,Limousine Plus 7 STR,Automatic (TC),Diesel,2820000,62000,4,Delhi
Skoda,Slavia,Style 1.0L TSI AT,Automatic (TC),Petrol,1885000,8700,1,Delhi
Maruti Suzuki,Baleno [2015-2019],Delta 1.2,Manual,Petrol,484100,60000,5,Delhi
Volkswagen,Polo,GT,Automatic (TC),Petrol,953000,34000,3,Delhi
Mahindra,TUV300,T8,Manual,Diesel,575000,57000,7,Delhi
Mahindra,Alturas G4,4WD AT,Automatic (TC),Diesel,2010000,58000,5,Delhi
Kia,Seltos [2019-2022],GTX Plus 1.4,Manual,Petrol,1297000,16000,4,Delhi
Mahindra,XUV500,W11,Manual,Diesel,1295000,32000,5,Delhi
Honda,Civic,V CVT Petrol,Automatic (CVT),Petrol,1247000,35000,5,Delhi
Hyundai,Grand i10,Magna 1.2 Kappa VTVT,Manual,Petrol,629000,8900,2,Delhi
Toyota,Fortuner,4X4 AT 2.8 Diesel,Automatic (TC),Diesel,4470000,18000,2,Delhi
Jaguar,XE [2016-2019],Prestige,Automatic,Petrol,2510000,48000,7,Delhi
Renault,Triber,RXL,Manual,Petrol,582300,34000,4,Delhi
Renault,Kwid,CLIMBER 1.0 AMT,Automatic (AMT),Petrol,543300,37000,4,Delhi
Tata,Harrier,Fearless Plus Dark Edition,Manual,Diesel,2770000,8955,1,Delhi
Mini,Cooper,S,Automatic (DCT),Petrol,3320000,39000,5,Delhi
Ford,Endeavour [2016-2019],Titanium 2.2 4x2 AT,Automatic,Diesel,1825000,61000,6,Delhi
Kia,Seltos [2019-2022],GTX Plus 1.4,Manual,Petrol,1970000,2000,1,Delhi
Mahindra,XUV500,W9,Manual,Diesel,1167000,61000,5,Delhi
Honda,Amaze [2018-2021],1.2 VX MT Petrol,Manual,Petrol,639000,39000,5,Delhi
Toyota,Urban Cruiser,Mid Grade MT,Manual,Petrol,843000,18000,3,Delhi
Hyundai,Creta [2017-2018],E 1.6 Petrol,Manual,Petrol,664100,48000,6,Delhi
Maruti Suzuki,Vitara Brezza [2016-2020],VDi,Manual,Diesel,597200,60000,5,Delhi
Maruti Suzuki,Ignis,Zeta 1.2 AMT,Automatic (AMT),Petrol,843000,1100,1,Delhi
Kia,Seltos [2019-2022],HTX 1.5,Manual,Petrol,1308000,36000,3,Delhi
MG,Hector [2019-2021],Smart 1.5 DCT Petrol,Automatic (DCT),Petrol,1295000,13500,5,Delhi
Kia,Seltos [2019-2022],HTK 1.5,Manual,Petrol,865000,80000,5,Delhi
Volkswagen,Polo,GT,Automatic (TC),Petrol,822000,58000,5,Delhi
Toyota,Innova Crysta [2016-2020],2.8 GX AT 7 STR [2016-2020],Automatic,Diesel,1043000,87000,6,Delhi
Maruti Suzuki,Fronx,Alpha 1.0L Turbo MT,Manual,Petrol,1284000,8700,1,Delhi
Hyundai,Creta [2020-2023],SX 1.5 Diesel,Manual,Diesel,1330000,12000,3,Delhi
Hyundai,Verna [2006-2010],i,Manual,Petrol,1072000,21000,4,Delhi
Hyundai,Creta [2018-2019],SX 1.6 AT Petrol,Automatic,Petrol,1117000,40000,5,Ahmedabad
Hyundai,Creta [2018-2019],SX 1.6 AT Petrol,Automatic,Petrol,1117000,40000,5,Delhi
Hyundai,Elite i20 [2014-2015],Magna 1.2,Manual,Petrol,703000,13500,1,Delhi
Tata,Safari,Adventure,Manual,Diesel,1645000,60000,2,Delhi
Toyota,Fortuner,4X4 AT 2.8 Diesel,Automatic (TC),Diesel,4495000,18000,2,Delhi
Maruti Suzuki,Baleno [2019-2022],Alpha,Manual,Petrol,580900,57000,6,Delhi
Mahindra,XUV500,W7,Manual,Diesel,772000,75000,6,Delhi
MG,Hector [2019-2021],Sharp 1.5 DCT Petrol,Automatic (DCT),Petrol,1370000,51000,4,Delhi
Maruti Suzuki,Swift DZire [2011-2015],LXi,Manual,Petrol,250900,52000,10,Delhi
Audi,Q3 [2012-2015],35 TDI Premium,Automatic,Diesel,1317000,57000,9,Delhi
Hyundai,Alcazar,Platinum (O) 6 STR 1.5 Diesel AT,Automatic (TC),Diesel,1820000,32565,2,Delhi
